Unique.ID,start.year,Date,Ration,Tank,Strain,Treatment,FishNumber,PitTag Number,Length.mm,Weight.g
20060101,2006,5/23/06,High,1,Coleman,1,1,9105231033,,
20060102,2006,5/23/06,High,1,Coleman,1,2,9105224866,37,0.63
20060103,2006,5/23/06,High,1,Coleman,1,3,9105262790,33,0.51
20060104,2006,5/23/06,High,1,Coleman,1,4,9105261043,,
20060105,2006,5/23/06,High,1,Coleman,1,5,9101917143,36,0.53
20060106,2006,5/23/06,High,1,Coleman,1,6,9105256617,37,0.69
20060107,2006,5/23/06,High,1,Coleman,1,7,9101950913,38,0.79
20060108,2006,5/23/06,High,1,Coleman,1,8,9102032550,37,0.63
20060109,2006,5/23/06,High,1,Coleman,1,9,9101864831,40,0.94
20060110,2006,5/23/06,High,1,Coleman,1,10,9101921345,38,0.81
20060111,2006,5/23/06,High,1,Coleman,1,11,9102033086,40,0.83
20060112,2006,5/23/06,High,1,Coleman,1,12,9102047854,41,0.91
20060113,2006,5/23/06,High,1,Coleman,1,13,9105249269,38,0.7
20060114,2006,5/23/06,High,1,Coleman,1,14,9102131003,39,0.98
20060115,2006,5/23/06,High,1,Coleman,1,15,9102124750,39,0.9
20060116,2006,5/23/06,High,1,Coleman,1,16,9102060013,37,0.7
20060117,2006,5/23/06,High,1,Coleman,1,17,9105280591,47,1.42
20060118,2006,5/23/06,High,1,Coleman,1,18,9105256468,,
20060119,2006,5/23/06,High,1,Coleman,1,19,9101869599,42,0.97
20060120,2006,5/23/06,High,1,Coleman,1,20,9102057617,38,0.75
20060101,2006,6/22/06,High,1,Coleman,1,1,9105231033,,
20060102,2006,6/22/06,High,1,Coleman,1,2,9105224866,46,1.2
20060103,2006,6/22/06,High,1,Coleman,1,3,9105262790,45,1.1
20060104,2006,6/22/06,High,1,Coleman,1,4,9105261043,,
20060105,2006,6/22/06,High,1,Coleman,1,5,9101917143,51,1.6
20060106,2006,6/22/06,High,1,Coleman,1,6,9105256617,49,1.6
20060107,2006,6/22/06,High,1,Coleman,1,7,9101950913,54,1.9
20060108,2006,6/22/06,High,1,Coleman,1,8,9102032550,51,1.7
20060109,2006,6/22/06,High,1,Coleman,1,9,9101864831,51,1.8
20060110,2006,6/22/06,High,1,Coleman,1,10,9101921345,53,2.1
20060111,2006,6/22/06,High,1,Coleman,1,11,9102033086,52,1.7
20060112,2006,6/22/06,High,1,Coleman,1,12,9102047854,60,3.2
20060113,2006,6/22/06,High,1,Coleman,1,13,9105249269,47,1.3
20060114,2006,6/22/06,High,1,Coleman,1,14,9102131003,53,1.9
20060115,2006,6/22/06,High,1,Coleman,1,15,9102124750,69,3.9
20060116,2006,6/22/06,High,1,Coleman,1,16,9102060013,50,1.8
20060117,2006,6/22/06,High,1,Coleman,1,17,9105280591,56,2.1
20060118,2006,6/22/06,High,1,Coleman,1,18,9105256468,,
20060119,2006,6/22/06,High,1,Coleman,1,19,9101869599,57,2.2
20060120,2006,6/22/06,High,1,Coleman,1,20,9102057617,59,2.9
20060101,2006,7/21/06,High,1,Coleman,1,1,9105231033,,
20060102,2006,7/21/06,High,1,Coleman,1,2,9105224866,48,1.2
20060103,2006,7/21/06,High,1,Coleman,1,3,9105262790,47,1.2
20060104,2006,7/21/06,High,1,Coleman,1,4,9105261043,,
20060105,2006,7/21/06,High,1,Coleman,1,5,9101917143,55,1.8
20060106,2006,7/21/06,High,1,Coleman,1,6,9105256617,50,1.6
